provider_id,first,middle,last,dept
209033,Stephen,J.,Paolella,"Berkshire Facial Surgery, Inc."
209087,Meagan,E.,Hudak,"Holyoke Pediatric Associates, LLP"
3105207,Mohamed,Ehab,Ramadan,Baystate Pain Management Center
759071,Megan,C.,Gallagher,Baystate Infectious Disease
207773,Stephen,G.,Mueller,Baystate Behavioral Health - Adult Psychiatric Treatment Unit
207641,Saborna,,Das,BMP Hospital Medicine
1194110,Meghan,Marie,Provost,Baystate Longmeadow Primary Care
754597,Salvatore,,Viscomi,"Radiology and Imaging, Inc."
2174706,Mohamad,H.,Ossiani,"Radiology and Imaging, Inc."
611103,Megan,Eileen,Davis,Baystate Mason Square Neighborhood Health Center
208228,Miriam,S.,Buckberg,Springfield Medical Associates
728871,Megan,,Lifshitz,BMP Dept. of Surgery (Orthopedics)
209419,Michael,R.,Sorrell,"Western Mass Neurology, P.C."
3155331,Mohammed,Irfan,Ali,Baystate Vascular Services
2304914,Samantha,Jeanne,Ortiz-Alvarez,Baystate Medical Practices West Side Adult Medicine
2440905,Michael,S.,Abrams,"Pediatric Ophthalmology of Western Massachusetts, LLC"
1208571,Megan,Marie,Elterman,Baystate Surgical Oncology & Breast Specialists
1135229,Shivank,,Garg,Baystate Radiation Oncology
209249,Michael,S.,Freedman,"Pediatric Associates of Hampden County, Inc."
3015157,Madhav,,Chittimalla,BMP Hospital Medicine
208743,Michael,T.,Bailin,Springfield Anesthesia Services
231510,Shreyas,D.,Gowdar,BMP Hospital Medicine
3015156,Mithun,George,Jacob,BMP Hospital Medicine
2594124,Michael,Thomas,D'Amico,"Springfield Anesthesia Service, Inc."
1889732,Shyla,N.,Sachdev,Baystate Cardiology
207261,Mark,W.,Lange,Baystate Behavioral Health - Griswold Center
207785,Sidney,L.,Kahn,New England Endovascular Center
820798,Marlene,M.,Reil,Baystate Behavioral Health - Griswold Center
229616,Siobhan,M.,McNally,Caring Health Center
208222,Martha,V.,Dragon,Springfield Anesthesia Services
207595,Sivakumar,,Natanasabapathy,BMP Hospital Medicine
207826,Michael,V.,Tirabassi,Baystate Pediatric Surgery
209176,Michael,William,Flanary,Springfield Anesthesia Services
208711,Smita,,Bhagat,"Smita J. Bhagat, LLC"
1535278,Michayla,R.,Casella,Baystate Neurosurgery
207483,Mary-Alice,,Abbott,Baystate Medical Genetics
207396,Mary,C.,Casartello,Baystate Midwifery and Women's Health
354187,Michele,A.,Gortakowski,Baystate Endocrinology
208392,Stefan,A.,Topolski,Trailside Health
207241,Michele,M.,Schroeder,Baystate Emergency Medicine
2304905,Stefanie,,Baptista,"Valley Medical Associates, P.C."
2591287,Michele,,Spirko,NO PRACTICE GROUP
207925,Stephane,,Jacobus,Baystate Behavioral Health - Adult Outpatient
2364544,Michelle,A.,Holton,Baystate Emergency Medicine
207890,Mary Jo,S.,Farmer,Baystate Pulmonary
208696,Michelle,E.,Adams,"Holyoke Pediatric Associates, LLP"
1815339,Stephanie,Elizabeth,Wheeler,Baystate Critical Care Medicine
2583516,Stephanie,,Gleason,"Pioneer Spine and Sports Physicians, P.C."
207656,Michelle,F.,Rappold,Division of Midwifery & Community Health
208401,Michelle,Kosche,Anfang,"Michelle K. Anfang, M.D."
207802,Mary,N.,Tenenbaum,"Radiology and Imaging, Inc."
2631356,Michelle,Louise,Kayser,Baystate Pediatric Endocrinology & Diabetes
2013871,Mary Patricia,,Marvel,Baystate Cardiac Surgery
1163477,Stephanie,,Hucker,Baystate Mason Square Neighborhood Health Center
207794,Mary,Teresa,Paterno,Baystate Midwifery and Women's Health
900756,Stephen,A.,Bean,Baystate Newborn Medicine
357077,Melissa,,LaBonte,Baystate Convenient Care
208407,Stephen,C.,Anderson,Swift River Medical Associates
3094688,Monica,Ann,Przybyla,BMP Hospital Medicine
207179,Stephen,C.,O'Connor,"Radiology and Imaging, Inc."
209059,Miguel,A.,Rodriguez,Trinity Health of New England Medical Group
367191,Mihaela,C.,Ivancev,BMP Hospital Medicine
207455,Mihaela,,Tiru,BMP Hospital Medicine
357728,Stacie,E.,Baldwin,Baystate Gastroenterology
208923,M.,Grace,Joyce,Springfield Anesthesia Services
1161670,Mina,A.,Ferig,BMP Hospital Medicine
208966,Maureen,,Quinn-Sheehan,"Quinn Family Dental, LLC"
3104679,Monica,,Picard,Baystate Medical Practices Greenfield Family Medicine
208995,Mina,,Farkhondeh,"Pioneer Valley Pediatrics, Inc."
209267,Max,,Chorowski,The Counseling and Gynecology Group
3015155,Meghann,Elizabeth,Zapcic-Desrochers,Baystate Emergency Medicine
2563481,Miranda,,Balkin,NO PRACTICE GROUP
712352,Max,,Kernizan,Maxillofacial & Implant Surgery of Western Mass
3143399,Maia,L.,Boni,"Ear, Nose & Throat Surgeons of WNE, LLC"
2939306,Matthew,Thomas,Opacic,Baystate Emergency Medicine
366190,Meaghan,E.,Doyle-Malone,Baystate Wesson Women's Clinic
1180093,Megan,,McWherter,Baystate Medical Practices Greenfield Family Medicine
244815,May,A.,Awkal-Matisewski,"Post Acute Care Clinicians, LLC"
1597649,Megan,M.,Weatherborn,Baystate Maternal Fetal Medicine
952692,Meaghan,A.,Delaney,Boston IVF
785450,Marina,,Abel,Baystate Neurosurgery
462679,Megan,R.,Miller,Baystate Women’s Health OB/GYN
3103708,Mmaserame,Kegakgametse Emily,Gaefele,Baystate Medical Practices Greenfield Family Medicine
2467050,Meghan,L.,Schmidt,Baystate Family Medicine – Northampton
208006,Marshal,T.,Fox,Baystate Cardiology
524702,Mehak,,Ali,BMP Hospital Medicine
929604,Marta,,Golasinski,BMP Hospital Medicine
244664,Martha,,Lopez,"Radiology and Imaging, Inc."
209326,Melissa,A.,Maciborski,"Sumner Pediatrics, PC"
209016,Magdalena,,Czerkawska-Zydzik,Pediatric Care Associates
207574,Lisa,R.,Jenike,Baystate Medical Genetics
207177,Maggie,A,Ryan,Baystate Emergency Medicine
209555,Lisa,L.,Cole,Baystate Pathology
2358979,Majida,,Abdul Gaffar,Connecticut Children's Medical Center
208471,Lisa,A.,Uyehara,"Lisa A. Uyehara, M.D."
2355280,Manisha,,Shastry,BMP Hospital Medicine
230983,Melissa,J.,Miles,Baystate Mason Square Neighborhood Health Center
207859,Lisa,A.,Sebastyn,Baystate Cardiology
208014,Marie,Rose,Boutin,Baystate Emergency Medicine
360534,Lisa,A.,Massie,Baystate Cardiology
208220,Marc,S.,McDermott,Northern Berkshire Pediatrics
208003,Maura,E.,Munoz,Baystate Mason Square Neighborhood Health Center
209064,Marc,,Vanderleeden,Endocrine Associates of Western Massachusetts. P.C.
208397,Melissa,,Lemiech,New England Dermatology & Laser Center
207412,Linie,S.,Thomas,BMP Hospital Medicine
207211,Michael,J.,Lemanski,Baystate Emergency Medicine
1650998,Lindsey,Anne,Goodrow,BMP Hospital Medicine
362103,Michael,J.,"Reeves, Jr.","Valley Medical Group, P.C."
360979,Long-Chau,T.,Van,Springfield Anesthesia Services
209179,Michael,J.,Spink,Maxillofacial & Implant Surgery of Western Mass
207462,Michael,J.,Strapp,Baystate Emergency Medicine
208195,Maria Ethel,,Evales,"Springfield Pediatrics, LLC"
2547509,Maria,Gabriela,Ponce Garcia,Holyoke Health Center
208396,Michael,J.,Woods,"Pioneer Spine and Sports Physicians, P.C."
209523,Maria,Sameiro,Pereira,Springfield Anesthesia Services
207521,Linda,M.,Theriault,Baystate Cardiology
207407,Michael,J.,Yunes,Baystate Radiation Oncology
207990,Linda,L.,Gourlay,Baystate Behavioral Health - Adult Partial Hospital Program
569196,Maria,Teresa,Ortega,"Baystate Primary Care, Palmer"
209308,Michael,L.,Rossen,Hampshire Neurology LLC
208230,Linda,J.,Schoonover,"Baystate Primary Care, Palmer"
207719,Michael,N.,Singh,Baystate Cardiology
209483,Mark,A.,Blumberg,New England Dermatology & Laser Center
207777,Michael,P.,Habeeb,"Radiology and Imaging, Inc."
207810,Mark,A.,Tidswell,Baystate Critical Care Medicine
207320,Linda,J.,Canty,Baystate High Street Health Center Adult Medicine
1601707,Matthew,R.,DeLuzio,Baystate Thoracic Surgery
1835479,Lillian,K.,Pham,Cornerstone Kids Dentistry
2681859,Matthew,James,Tsianco,BMP Hospital Medicine
208344,Lilibeth,K.,Denham,Baystate Women’s Health OB/GYN
208496,Matthew,J.,Spitzer,"Valley Medical Group, P.C."
2603226,Lili,E.,Schindelar,"Daryle A. Ruark, M.D. Orthopedic Surgeon, P.C."
207769,Marie,E.,Meckel,Baystate Mason Square Neighborhood Health Center
2483876,Melanie,Rose,Russo,"Renal and Transplant Associates of New England, PC"
1742763,Leslie,R.,Trien,"Radiology and Imaging, Inc."
208771,Melissa,A.,Johnson,Pioneer Valley Plastic Surgery
961304,Leslie,A.,Lyness,Baystate Neurosurgery
2304910,Mackenzie,L.,Miller,Baystate Emergency Medicine
209624,Melissa,M.,Lariviere,Baystate General Surgery
611095,Mackenzie,Rose,Babb,Baystate Newborn Medicine
728870,Melissa,,Mercado,Baystate Neurology
2594120,Mackenzie,Rose,LaPorte,Baystate Emergency Medicine
208438,Madeleine,Therese,Maguire,New England Dermatology & Laser Center
208937,Lesley,B.,Mugford,"Holyoke Pediatric Associates, LLP"
2516416,Madelyn,,Czekalski,"Renal and Transplant Associates of New England, PC"
1890156,Meredith,Meier,Sen,"Baystate Ob/Gyn Group, Inc."
209670,Miah,J.,DiGregorio,Baystate Convenient Care
2624705,Madiha,Gulelala,Aurangzeb,BMP Hospital Medicine
2603234,Madison,Dara,Decman,"Baystate Ob/Gyn Group, Inc."
207864,Lora,D.,Grimes,Baystate Convenient Care
207303,Mae Mae,A.,Mirabelli,"Radiology and Imaging, Inc."
2031259,Mael,,Walkowiak,Baystate Cardiac Surgery
2594115,Michael,Cronin,Cooper,Baystate Pediatric Emergency Medicine
2788596,Laura,Taylor,Director,Baystate Emergency Medicine
2930882,Lillie,,LaRochelle,Baystate Maternal Fetal Medicine
209258,Michael,D.,Dunkerley,Baystate Emergency Medicine
358442,Malgorzata,Maria,Platz,Baystate Longmeadow Primary Care
207313,Michael,E.,Swirsky,"Radiology and Imaging, Inc."
208974,Michael,E.,Willers,The Children's Heart Center of Western Massachusetts
764106,Michael,E.,Zavaski,"Pioneer Valley Urology, P.C."
209022,Michael,H.,Hakim,"Michael Hakim, MD"
1597107,Michael,J.,Cunningham,New England Dermatology & Laser Center
2939309,Marlena,Ashley,Springstubb,Baystate Medical Practices Pioneer Womens Health
207709,Matthew,D.,Sadof,Baystate General Pediatrics
209130,Matthew,,Filippi,Meadows Podiatry PC
1815114,Matthew,J.,Grosso,"Daryle A. Ruark, M.D. Orthopedic Surgeon, P.C."
208896,Michael,P.,Loosemore,New England Dermatology & Laser Center
847478,Michael,P.,McCool,Baystate Medical Practices Wilbraham Adult Medicine
228375,Michael,R.,Chalifoux,Springfield Anesthesia Services
1625295,Michael,R.,Murray,Springfield Anesthesia Services
207887,Mohammad,A.,Khan,"Baystate Primary Care, Palmer"
207858,Mohammad,M.,Rahman,BMP Hospital Medicine
2624704,Mohammed,Absar,Ullah,Baystate Gastroenterology
208638,Mohammed,,Mawla,Sensamed
207443,Molly,H.,Senn-McNally,Baystate General Pediatrics
847479,Monica,A.,Evans,Baystate Newborn Medicine
2417407,Monika,Magdalena,Sullivan,Baystate Women’s Health OB/GYN
2023443,Monika,,Seth,Baystate Pathology
209158,Monika,,Sidor,Springfield Anesthesia Services
207754,Muhammad,A.,Gul,Meadows Health Center
208629,Muhammad,,Isa,Springfield Anesthesia Services
207234,Muhammad,,Umar,BMP Hospital Medicine
2608908,Muhtadi,Muhammad,Islam,Baystate Neurology
207533,Munir,,Ahmad,Baystate Rheumatology
2102834,Mustafa,,Barbhuiya,Baystate Pathology
1664614,Myles,,Jen Kin,Baystate Emergency Medicine
355326,Marisela,Andrea,Fermin Schon,Baystate Family Medicine – Northampton
208950,Mark,Edward,Belemjian,Pediatric Services of Springfield
363357,Mark,S.,Schaner,BMP Hospital Medicine
2417284,Marybeth,,Hayes,Baystate Behavioral Health - Greenfield Inpatient
363584,Mashrafi,,Ahmed,Pioneer Valley Cardiology Associates
582260,Mathew,,Merritt,Baystate Cardiac Surgery
2552029,Mathew,R.,Goebel,Baystate Emergency Medicine
208625,Matt,A.,Razon,Baystate Emergency Medicine
2120300,Matthew Bronac,,Rich,Baystate Medical Genetics
207991,Matthew,Charles,Wood,BMP Hospital Medicine
362053,Matthew,D.,Kronick,Baystate Vascular Services
2023286,Matthew,D.,Shapiro,Baystate Emergency Medicine
208257,Matthew,J.,Haluch,Baystate Dental PC
1691544,Matthew,S.,Gray,Baystate Emergency Medicine
1399644,Matthew,Steven,Baker,Baystate Neurology
207949,Matthew,W.,Richardson,Baystate Pediatric Hematology/Oncology
207765,Maura,J.,Brennan,Baystate Geriatric Medicine (Inpatient)
1271960,Maxwell,S.,Prior,Baystate Behavioral Health - Psychiatry Consultation Services
207243,Mayu,Sekiguchi,Runge,Baystate High Street Health Center Adult Medicine
207806,Lori,L.,Trask,Baystate Medical Practices Quabbin Pediatrics Medicine
208725,Lori,E.,Circeo,Baystate Pulmonary
208223,Louis,J.,DeCaro,Pioneer Podiatry
207913,Liza,Gonen,Smith,Baystate Emergency Medicine
674577,Lisa,Michelle,Taylor Kelly,Baystate General Pediatrics
208258,Lisa,Lynn,Stephens,"Total Women's Health Care, Inc."
566225,Luz,M.,Martin,"Luz M. Martin, M.D. PC"
2594114,Luca,,Tomasi,Baystate Emergency Medicine
357870,Liza,,Winston,Baystate Midwifery and Women's Health
257383,Leonardo,J.,Velazquez,Ophthalmology Services
209549,Lauren,A.,Flink,Baystate Vascular Services
2330255,Lauren,A.,Branchini,Eyesight and Surgery Associates
209345,Laura,S.,Madore,Baystate Newborn Medicine
2622380,Laura,,Rekedal,Baystate Women’s Health OB/GYN
209200,Laura,M.,Morris,Baystate Behavioral Health - Geriatric Psychiatry (Inpatient)
207696,Laura,M.,Kostura,Baystate Wesson Women's Clinic
2297025,Laura,L.,Gineo,"Northampton Area Pediatrics, LLP"
366809,Laura,Kirsten,Lewis,Baystate Emergency Medicine
2622360,Lauren,A.,Sweetser,Baystate Pediatric Critical Care Medicine
207205,Laura,Jeannette,Motyl,Baystate Midwifery and Women's Health
2547510,Laura,,Goldstein,"Pioneer Spine and Sports Physicians, P.C."
207474,Laura,Bond,Maycock,Baystate Medical Practices Pioneer Womens Health
208679,Lance,D.,Reynolds,Family Medicine Associates
1487242,Lan,Quynh,Nguyen,Baystate Coumadin Clinic
209313,Marc,J.,Schweiger,Baystate Cardiology
2467047,Lael,M.,Luedtke,Shriners Hospital for Children
209586,Marcia,W.,VanVleet,Baystate Newborn Medicine
3182870,Liana,,Langdon-Embry,Baystate Wesson Women's Clinic
208948,Margaret,A.,Ferry,"Margaret A. Ferry, M.D., P.C."
207841,Lucienne,,Lutfy-Clayton,Baystate Emergency Medicine
316190,Laura,Jean,Kattan,Baystate Women’s Health OB/GYN
554561,Margaret,B.,Griffith,Baystate Women’s Health OB/GYN
208390,Margaret,B.,Rounds,"Holyoke Pediatric Associates, LLP"
726712,Margaret,,Gladski,Baystate Convenient Care
207254,Lauren,B.,Meade,Baystate High Street Health Center Adult Medicine
2364655,Lauren,Danielle,Ingold-Smith,Baystate Vascular Services
208443,Lauren,J.,Shatz,Eye Physicians of Northampton
208717,Maria,Alejandra,Holguin,Baystate General Surgery
2467052,Maria,C.,Di Pentima,Baystate Pediatric Infectious Diseases
2586055,Mariana,,Colussi-Pelaez,Baystate General Pediatrics
2174708,Mark,Colli,Smith,Springfield Anesthesia Services
208281,Jay,S.,Steingrub,Baystate Critical Care Medicine
207923,George,Gordon,Hartnell,Baystate Interventional Radiology
2015645,Jennifer,Paige,Howell,Baystate Vascular Services
208372,Georges-Elie,,Fares,"Renal and Transplant Associates of New England, PC"
209539,Jennifer,S.,DeGrenier,Northern Berkshire Pediatrics
1673098,Georgianna,Rose,Shea,Baystate Pediatric Gastroenterology & Nutrition
2304904,Jaya,,Rawla,Baystate Brightwood Health Center
2174707,Jennifer,,Wu,"Radiology and Imaging, Inc."
229817,Gerri,L.,Smith,Baystate Surgical Oncology & Breast Specialists
207844,Jeannette,M.,Wolfe,Baystate Emergency Medicine
209611,Gerry,G.,Baloyo,Baystate Cardiac Surgery
208852,Jeannie,Marie,Dodd,Baystate Newborn Medicine
209645,Ghassan,A.,Aljafar,Pulse Anesthesia
2010741,Jenny,E.,Horowitz,Baystate General Pediatrics
209401,Jefferson,Haley,Dickey,Community Health Center of Franklin County
207875,Gina,M.,Gioranino,Baystate Newborn Medicine
207300,Jeffrey,A.,Dan,Baystate Emergency Medicine
1947941,Jessica,E.,Chartier,Baystate Behavioral Health - Griswold Center
3094675,Julianne,R.,Earle,Baystate Emergency Medicine
611091,Gina,Marie,Brengi,BMP Hospital Medicine
